planta,tag,descripcion,fabricante,modelo,tipo_compresor,n_impulsores,mat_carcasa,tipo_lubricante,tipo_lubricante_rot,tipo_sello,vel_maxc,vel_rot,preq,gas_e1,temp_ent_e1,vol_e1_normal,vol_e1_dis,fmasico_e1,fmolar_e1,densidad_e1,pres_ent_e1,z_ent_e1,pres_sal_e1,temp_sal_e1,aumento_est_e1,z_sal_e1,cp_cv_ent_e1,cp_cv_sal_e1,rel_comp_e1,pot_nom_e1,pot_req_e1,ef_is_e1,ef_pol_e1,cab_pol_e1,hum_rel_e1,gas_e2,temp_ent_e2,vol_e2_normal,vol_e2_dis,fmasico_e2,fmolar_e2,densidad_e2,pres_ent_e2,z_ent_e2,pres_sal_e2,temp_sal_e2,aumento_est_e2,z_sal_e2,cp_cv_ent_e2,cp_cv_sal_e2,pot_req_e2,ef_is_e2,ef_pol_e2,cab_pol_e2,hum_rel_e2,gas_e3,temp_ent_e3,vol_e3_normal,vol_e3_dis,fmasico_e3,fmolar_e3,densidad_e3,pres_ent_e3,z_ent_e3,pres_sal_e3,temp_sal_e3,aumento_est_e3,z_sal_e3,cp_cv_ent_e3,cp_cv_sal_e3,pot_req_e3,ef_is_e3,ef_pol_e3,cab_pol_e3,hum_rel_e3,gas_e4,temp_ent_e4,vol_e4_normal,vol_e4_dis,fmasico_e4,fmolar_e4,densidad_e4,pres_ent_e4,z_ent_e4,pres_sal_e4,temp_sal_e4,aumento_est_e4,z_sal_e4,cp_cv_ent_e4,cp_cv_sal_e4,pot_req_e4,ef_is_e4,ef_pol_e4,cab_pol_e4,hum_rel_e4,gas_e5,temp_ent_e5,vol_e5_normal,vol_e5_dis,fmasico_e5,fmolar_e5,densidad_e5,pres_ent_e5,z_ent_e5,pres_sal_e5,temp_sal_e5,aumento_est_e5,z_sal_e5,cp_cv_ent_e5,cp_cv_sal_e5,pot_req_e5,ef_is_e5,ef_pol_e5,cab_pol_e5,hum_rel_e5,,
OLEFINAS I,181-J,Compresor de gas de proceso,NUOVO PIGNONE,,CENTRIFUGO,,,,,,5810,,,Mezcla,43.3,71180,,,,,1.54,1,3,93,64000,0.99,,,,,,,,,,Mezcla,40.6,40260,,,,,2.73,0.99,5.35,93,36500,0.99,,,,,,,,Mezcla,40.6,21170,,,,,5.08,0.99,10.3,96,18600,0.99,,,,,,,,Mezcla,40.6,10590,,,,,10.1,0.98,19.61,96,9350,0.98,,,,,,,,Mezcla,21.1,6920,,,,,13.9,0.96,37.5,106,5850,0.96,,,,,,,
OLEFINAS I,102-J ,Compresor de refrigeración de propileno,NUOVO PIGNONE,,CENTRIFUGO,,,,,,4857,,,Propileno,-41.3,19468,,58720,,,1.31,0.948,2.27,-10,14406,0.943,1.201,1.181,,,560,,65,2588,,Propileno,-21,45448,,220409,,,2.27,0.931,5.96,26,31814,0.903,1.191,1.171,3760,,80,4918,,Propileno,17.5,29300,,339358,,,5.96,0.89,14.34,66,19924,0.843,1.178,1.169,5870,,77,4821,,Propileno,65.6,13299,,335094,,,14.34,0.843,20.16,86,9.176,0.819,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS I,103-J ,Compresor de refrigeración de etileno,NUOVO PIGNONE,,CENTRIFUGO,,,,,,10300,,,Etileno,-101.11,,,,,,1.07,0.94,,,,,,,,,,,,,,Etileno,-84.44,,,,,,2.79,0.92,,,,,,,,,,,,Etileno,-65,,,,,,6.17,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS I,180-J ,Bomba de calor,NUOVO PIGNONE,,CENTRIFUGO,,,,,,9500,,,Etileno,-34.5,6080,,198375,,,17.28,0.75,36.88,19,4440,0.73,1.33,1.31,,,3160,,78,4490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-3101,Compresor de gas de proceso,LINDE,,CENTRIFUGO,,,,,,6443,,16404,Gas crakeado,36.5,,92110.4,121163.1,5463.3,1.315,1.5,,2.94,,,,,,,,,,,,,Gas  crakeado,36.8,,48449.7,119173.9,5353,2.46,2.79,,5.6,,,,,,,,,,,Gas crakeado,36.9,,24539.7,117849.7,5279.5,4.802,5.4,,10.6,,,,,,,,,,,Gas crakeado,37,,12544.1,117157,5238.5,9.34,10.35,,19.7,,,,,,,,82.95,,,Gas crakeado,32.4,6606.6,,121956.2,5335.4,18.46,19.05,,37.7,,,,,,,,,,
OLEFINAS II,C-4401,Compresor de refrigeración de etileno,LINDE ,,CENTRIFUGO,,,,,,10751,,2710,Etileno,-102,,,10548,,,1.07,,3.4,,,,,,,,,,,,,Etileno,,,,33564,,,3.3,,8.7,,,,,,,,,,,Etileno,,,,77782,,,8.6,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-4601,Compresor de refrigeración de propileno,LINDE,,CENTRIFUGO,,,,,,3700,,14010,Propileno,-38,,,233364,,,1.44,0.9447,3.06,-4.2,,,,,,,,,84.01,33.46,,Propileno,-7.8,,,301820,,,2.94,0.927,5.12,18.5,,,,,,,83.89,27.7,,Propileno,18.5,,,236062,,,5.12,0.909,7.77,39.5,,,,,,,82.66,22.34,,Propileno,33.1,,,302052,,,7.703,0.882,24.15,96.3,,,,,,,81.78,64.41,,,,,,,,,,,,,,,,,,,,,
