planta,tag,descripcion,fabricante,modelo,tipo_compresor,n_impulsores,mat_carcasa,tipo_lubricante,tipo_lubricante_rot,tipo_sello,vel_maxc,vel_rot,preq,gas_e1,temp_ent_e1,vol_e1_normal,vol_e1_dis,fmasico_e1,fmolar_e1,densidad_e1,pres_ent_e1,z_ent_e1,pres_sal_e1,temp_sal_e1,aumento_est_e1,z_sal_e1,cp_cv_ent_e1,cp_cv_sal_e1,rel_comp_e1,pot_nom_e1,pot_req_e1,ef_is_e1,ef_pol_e1,cab_pol_e1,hum_rel_e1,gas_e2,temp_ent_e2,vol_e2_normal,vol_e2_dis,fmasico_e2,fmolar_e2,densidad_e2,pres_ent_e2,z_ent_e2,pres_sal_e2,temp_sal_e2,aumento_est_e2,z_sal_e2,cp_cv_ent_e2,cp_cv_sal_e2,pot_req_e2,ef_is_e2,ef_pol_e2,cab_pol_e2,hum_rel_e2,gas_e3,temp_ent_e3,vol_e3_normal,vol_e3_dis,fmasico_e3,fmolar_e3,densidad_e3,pres_ent_e3,z_ent_e3,pres_sal_e3,temp_sal_e3,aumento_est_e3,z_sal_e3,cp_cv_ent_e3,cp_cv_sal_e3,pot_req_e3,ef_is_e3,ef_pol_e3,cab_pol_e3,hum_rel_e3,gas_e4,temp_ent_e4,vol_e4_normal,vol_e4_dis,fmasico_e4,fmolar_e4,densidad_e4,pres_ent_e4,z_ent_e4,pres_sal_e4,temp_sal_e4,aumento_est_e4,z_sal_e4,cp_cv_ent_e4,cp_cv_sal_e4,pot_req_e4,ef_is_e4,ef_pol_e4,cab_pol_e4,hum_rel_e4,gas_e5,temp_ent_e5,vol_e5_normal,vol_e5_dis,fmasico_e5,fmolar_e5,densidad_e5,pres_ent_e5,z_ent_e5,pres_sal_e5,temp_sal_e5,aumento_est_e5,z_sal_e5,cp_cv_ent_e5,cp_cv_sal_e5,pot_req_e5,ef_is_e5,ef_pol_e5,cab_pol_e5,hum_rel_e5,,
OLEFINAS II,C-3101,Compresor de gas de proceso,LINDE,,CENTRIFUGO,,,,,,6811,,14652,Gas crakeado,36.5,,80309.5,87931.7,4743.1,1.095,1.5,,2.94,,,,,,,,,,,,,Gas  crakeado,36.8,,42308,86275.8,4651.2,2.039,2.79,,5.6,,,,,,,,,,,Gas crakeado,36.9,,21495.1,85184.7,4590.7,3.963,5.4,,10.6,,,,,,,,,,,Gas crakeado,37,,11051.2,84612.5,4458.8,7.656,10.35,,19.7,,,,,,,,,,,Gas crakeado,35.5,5863.3,,85255.4,4553.1,14.54,19.05,,37.7,,,,,,,,,,
OLEFINAS II,C-4401,Compresor de refrigeración de etileno,LINDE ,,CENTRIFUGO,,,,,,10751,,2660,Etileno,-102,,,8106,,,1.07,,3.4,,,,,,,,,,,,,Etileno,,,,27505,,,3.3,,,,,,,,,,,,,Etileno,,,,74259,,,8.6,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLEFINAS II,C-4601,Compresor de refrigeración de propileno,LINDE,,CENTRIFUGO,,,,,,3663,,12200,Propileno,-38,,,236920,,,1.44,,3.06,,,,,,,,,,,,,Propileno,,,,263085,,,2.94,,5.12,,,,,,,,,,,Propileno,,,,175860,,,5.12,,7.77,,,,,,,,,,,Propileno,,,,214584,,,7.72,,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
