tag;planta;descripcion;fabricante;presion_entrada_vapor;caida_presion_vapor;entalpia_entrada_vapor;entalpia_salida_vapor;flujo_entrada_vapor;temperatura_entrada_vapor;temperatura_salida_vapor;caida_presion_agua;velocidad_promedio_agua;presion_entrada_agua;flujo_entrada_agua;entalpia_entrada_agua;entalpia_salida_agua;temperatura_entrada_agua;temperatura_salida_agua;presion_entrada_drenaje;flujo_entrada_drenaje;entalpia_entrada_drenaje;entalpia_salida_drenaje;temperatura_entrada_drenaje;flujo_salida_drenaje;calor_drenaje;area_drenaje;coeficiente_drenaje;caida_presion_drenaje_b;calor_reduccion;area_reduccion;coeficiente_reduccion;calor_condensacion;area_condensacion;coeficiente_condensacion;mtd_condensacion;mtd_drenaje
3-E7;3;Precalentador de Agua de alta Presion;General Electric;8.15650108;;3017.84544;;9354.427816;281.6666667;143.2222222;0.44126464;1.627632;72.39498;179.8827938;583.17472;715.66368;137.6666667;168.4444444;8.15650108;8850.487104;736.94658;602.6666;174;18204.91492;4882250.74;19.695436;2123.67049;0.16547424;;;;21616108.32;120.7739;4281.410559;11.61111111;14.7
3-E8;3;Precalentador de Agua de baja Presion;General Electric;14.76168116;0.08963188;3083.13626;;8850.487104;319.7222222;;0.44126464;1.716024;72.39498;179.8827938;715.66368;831.12632;168.4444444;194.7222222;14.76168116;8850.487104;;735.55098;;156.5799584;2015969.786;10.312233;1788.652952;0.02068428;1626290.585;11.427069;494.0089107;18228735.85;94.482351;4207.593136;;
