complejo;planta;tag;descripcion;fabricante;modelo;potencia_turbina;potencia_turbina_unidad;potencia_max;potencia_max_unidad;velocidad_turbina;velocidad_turbina_unidad;presion_entrada;presion_entrada_unidad;temperatura_entrada;temperatura_entrada_unidad;contra_presion;contra_presion_unidad;polos;fases;ciclos;ciclos_unidad;potencia_aparente;potencia_aparente_unidad;potencia_real;potencia_real_unidad;velocidad_generador;velocidad_generador_unidad;corriente;corriente_unidad;voltaje;voltaje_unidad
AMC;Servicios industriales;TG3;Turbo generador 3;General Electric;;40000;49;44000;49;3600;52;57.43;7;482.22;1;69.85;22;2;3;60;41;50;57;40;61;3600;52;2092;59;13800;42
AMC;Servicios industriales;TG4;Trubo Generador 4;General Electric;;40000;49;44000;49;3600;52;57.43;7;482.22;1;69.85;22;2;3;60;41;50;57;40;61;3600;52;2092;59;13800;42
